elapsed_ms,rgb_frame_number,rgb_timestamp_ms,depth_frame_number,depth_timestamp_ms,rgb_gyro_timestamp_ms,rgb_accel_timestamp_ms,depth_gyro_timestamp_ms,depth_accel_timestamp_ms,rgb_gyro_delta_ms,rgb_accel_delta_ms,depth_gyro_delta_ms,depth_accel_delta_ms,gyro_count,accel_count
171.636,4,1789725857066.592,2,1789725856580.070,1789725857066.639,1789725857066.304,1789725857009.154,1789725857009.527,-0.047,0.287,-429.083,-429.457,3194,1626
224.037,5,1789725857134.479,0,1789725857134.429,1789725857133.651,1789725857132.454,1789725857133.651,1789725857132.454,0.828,2.024,0.778,1.975,3215,1636
291.063,6,1789725857202.503,1,1789725857202.454,1789725857202.655,1789725857203.089,1789725857202.655,1789725857203.089,-0.152,-0.586,-0.201,-0.636,3242,1650
357.018,7,1789725857269.989,2,1789725857269.939,1789725857271.017,1789725857268.075,1789725857271.017,1789725857268.075,-1.028,1.913,-1.078,1.864,3268,1663
426.256,8,1789725857337.230,3,1789725857337.181,1789725857336.303,1789725857337.480,1789725857336.303,1789725857337.480,0.928,-0.249,0.878,-0.299,3295,1677
505.559,9,1789725857404.305,3,1789725857337.181,1789725857405.519,1789725857403.297,1789725857336.303,1789725857337.480,-1.214,1.008,0.878,-0.299,3327,1693
555.861,10,1789725857471.349,5,1789725857471.300,1789725857472.108,1789725857469.059,1789725857472.108,1789725857469.059,-0.759,2.290,-0.808,2.241,3347,1703
625.659,11,1789725857538.346,6,1789725857538.296,1789725857537.924,1789725857539.026,1789725857537.924,1789725857539.026,0.422,-0.681,0.372,-0.731,3375,1717
690.976,12,1789725857605.310,7,1789725857605.260,1789725857605.894,1789725857603.640,1789725857605.894,1789725857603.640,-0.585,1.669,-0.634,1.620,3401,1731
758.855,13,1789725857672.172,8,1789725857672.123,1789725857670.929,1789725857672.776,1789725857670.929,1789725857672.776,1.243,-0.604,1.194,-0.653,3428,1744
818.763,14,1789725857738.945,9,1789725857738.896,1789725857738.193,1789725857736.710,1789725857738.193,1789725857736.710,0.751,2.234,0.702,2.185,3452,1756
891.443,15,1789725857805.672,10,1789725857805.623,1789725857805.156,1789725857805.256,1789725857805.156,1789725857805.256,0.516,0.416,0.467,0.367,3481,1771
958.653,16,1789725857872.351,11,1789725857872.302,1789725857871.955,1789725857873.628,1789725857871.955,1789725857873.628,0.396,-1.277,0.347,-1.326,3508,1785
1025.826,17,1789725857938.979,12,1789725857938.930,1789725857938.521,1789725857936.899,1789725857938.521,1789725857936.899,0.458,2.080,0.409,2.031,3535,1798
1092.695,18,1789725858005.561,13,1789725858005.512,1789725858004.961,1789725858004.918,1789725858004.961,1789725858004.918,0.600,0.643,0.551,0.594,3561,1812
1159.306,19,1789725858072.097,14,1789725858072.047,1789725858071.314,1789725858072.842,1789725858071.314,1789725858072.842,0.783,-0.745,0.733,-0.794,3588,1825
1225.095,20,1789725858138.586,15,1789725858138.538,1789725858137.503,1789725858140.600,1789725858137.503,1789725858140.600,1.083,-2.013,1.034,-2.062,3614,1839
1305.418,21,1789725858205.030,15,1789725858138.538,1789725858206.200,1789725858203.568,1789725858137.503,1789725858140.600,-1.171,1.461,1.034,-2.062,3646,1855
1360.287,22,1789725858271.427,17,1789725858271.378,1789725858272.315,1789725858271.247,1789725858272.315,1789725858271.247,-0.888,0.180,-0.937,0.131,3668,1866
1425.284,23,1789725858337.777,18,1789725858337.729,1789725858338.431,1789725858338.927,1789725858338.431,1789725858338.927,-0.653,-1.150,-0.702,-1.198,3694,1879
1492.061,24,1789725858404.082,19,1789725858404.033,1789725858404.550,1789725858401.778,1789725858404.550,1789725858401.778,-0.468,2.304,-0.517,2.256,3721,1892
1558.984,25,1789725858470.340,20,1789725858470.292,1789725858470.591,1789725858469.389,1789725858470.591,1789725858469.389,-0.250,0.951,-0.299,0.902,3748,1906
1625.007,26,1789725858536.552,21,1789725858536.504,1789725858536.452,1789725858536.810,1789725858536.452,1789725858536.810,0.100,-0.258,0.052,-0.307,3774,1919
1691.431,27,1789725858602.719,22,1789725858602.670,1789725858602.135,1789725858604.044,1789725858602.135,1789725858604.044,0.584,-1.325,0.535,-1.375,3800,1933
1759.194,28,1789725858668.839,23,1789725858668.791,1789725858667.639,1789725858671.090,1789725858667.639,1789725858671.090,1.200,-2.251,1.151,-2.300,3827,1946
1825.982,29,1789725858734.913,24,1789725858734.864,1789725858735.380,1789725858733.183,1789725858735.380,1789725858733.183,-0.467,1.729,-0.516,1.681,3854,1960
