frame_index,rgb_frame_number,rgb_timestamp_ms,depth_frame_number,depth_timestamp_ms,rgb_width,rgb_height,depth_width,depth_height,record_elapsed_ms
0,4,1789724677323.368164,2,1789724676808.954834,640,480,640,480,647.493854
1,5,1789724677390.761230,0,1789724677390.710938,640,480,640,480,700.106302
2,6,1789724677457.608154,1,1789724677457.559326,640,480,640,480,765.218802
3,7,1789724677523.983398,2,1789724677523.934814,640,480,640,480,831.684531
4,8,1789724677589.767334,3,1789724677589.719238,640,480,640,480,898.672292
5,9,1789724677655.006348,4,1789724677654.958496,640,480,640,480,965.592656
6,10,1789724677721.183838,4,1789724677654.958496,640,480,640,480,1045.366719
7,11,1789724677786.998291,6,1789724677786.950195,640,480,640,480,1098.949844
8,12,1789724677852.523193,7,1789724677852.475342,640,480,640,480,1165.328906
9,13,1789724677917.685303,8,1789724677917.636719,640,480,640,480,1232.320312
10,14,1789724677982.483398,9,1789724677982.435303,640,480,640,480,1299.180208
11,15,1789724678048.038330,10,1789724678047.990234,640,480,640,480,1365.325677
12,16,1789724678113.229980,11,1789724678113.182129,640,480,640,480,1432.360937
13,17,1789724678178.148193,12,1789724678178.100342,640,480,640,480,1498.784739
14,18,1789724678243.046143,13,1789724678242.998535,640,480,640,480,1566.609010
15,19,1789724678307.686768,14,1789724678307.638672,640,480,640,480,1632.214583
16,20,1789724678373.131836,15,1789724678373.083740,640,480,640,480,1698.949947
17,21,1789724678438.411377,16,1789724678438.362305,640,480,640,480,1766.638229
18,22,1789724678503.612061,17,1789724678503.564209,640,480,640,480,1833.151250
19,23,1789724678568.645752,18,1789724678568.597900,640,480,640,480,1899.891458
20,24,1789724678633.512207,19,1789724678633.464600,640,480,640,480,1966.197760
21,25,1789724678698.211670,20,1789724678698.164062,640,480,640,480,2033.047916
22,26,1789724678762.743896,21,1789724678762.696533,640,480,640,480,2099.896927
23,27,1789724678827.108887,22,1789724678827.061768,640,480,640,480,2166.327291
24,28,1789724678891.306885,23,1789724678891.259766,640,480,640,480,2233.680572
25,29,1789724678955.338623,24,1789724678955.290771,640,480,640,480,2299.658593
26,30,1789724679019.202393,25,1789724679019.155518,640,480,640,480,2366.384947
27,31,1789724679082.898926,26,1789724679082.852295,640,480,640,480,2433.420676
28,32,1789724679146.428467,27,1789724679146.381836,640,480,640,480,2499.944478
29,33,1789724679209.790771,28,1789724679209.744141,640,480,640,480,2566.624322
30,34,1789724679272.985840,29,1789724679272.939453,640,480,640,480,2633.830416
31,35,1789724679336.013916,30,1789724679335.967773,640,480,640,480,2701.595624
32,36,1789724679398.925293,31,1789724679398.876465,640,480,640,480,2767.752916
33,37,1789724679465.096924,32,1789724679465.047363,640,480,640,480,2834.704010
34,38,1789724679531.253174,33,1789724679531.204590,640,480,640,480,2900.984478
35,39,1789724679597.394775,34,1789724679597.346191,640,480,640,480,2967.983801
36,40,1789724679663.521973,35,1789724679663.473389,640,480,640,480,3034.125207
37,41,1789724679729.634521,36,1789724679729.585938,640,480,640,480,3098.608072
38,42,1789724679795.732666,37,1789724679795.684082,640,480,640,480,3168.334739
39,43,1789724679861.816162,38,1789724679861.767578,640,480,640,480,3234.573905
40,44,1789724679927.885254,39,1789724679927.836670,640,480,640,480,3302.261822
41,45,1789724679993.940918,40,1789724679993.891357,640,480,640,480,3368.684218
42,46,1789724680059.980713,41,1789724680059.932373,640,480,640,480,3434.734478
43,47,1789724680126.006348,42,1789724680125.957764,640,480,640,480,3501.017447
44,48,1789724680192.017334,43,1789724680191.968750,640,480,640,480,3568.525832
45,49,1789724680258.013672,44,1789724680257.965332,640,480,640,480,3634.648957
46,50,1789724680323.995605,45,1789724680323.947266,640,480,640,480,3701.566405
47,51,1789724680389.967529,46,1789724680389.919189,640,480,640,480,3767.789218
48,52,1789724680455.886963,47,1789724680455.838379,640,480,640,480,3834.620936
49,53,1789724680521.781738,48,1789724680521.732422,640,480,640,480,3901.235936
50,54,1789724680587.650146,49,1789724680587.601807,640,480,640,480,3968.411457
51,55,1789724680653.493164,50,1789724680653.444824,640,480,640,480,4034.354947
52,56,1789724680719.310547,51,1789724680719.262207,640,480,640,480,4101.410780
53,57,1789724680785.102783,52,1789724680785.054443,640,480,640,480,4168.836301
54,58,1789724680850.869385,53,1789724680850.821045,640,480,640,480,4234.955884
55,59,1789724680916.610596,54,1789724680916.562500,640,480,640,480,4301.622186
56,60,1789724680982.326416,55,1789724680982.278320,640,480,640,480,4368.547290
57,61,1789724681048.017822,56,1789724681047.968750,640,480,640,480,4434.949269
58,62,1789724681113.682861,57,1789724681113.634766,640,480,640,480,4502.174113
59,63,1789724681179.322510,58,1789724681179.274170,640,480,640,480,4568.639113
60,64,1789724681244.936523,59,1789724681244.888428,640,480,640,480,4631.944009
61,65,1789724681310.525146,60,1789724681310.477051,640,480,640,480,4701.036301
62,66,1789724681376.096436,61,1789724681376.047607,640,480,640,480,4769.091405
63,67,1789724681442.610840,62,1789724681442.562012,640,480,640,480,4834.919009
64,68,1789724681509.136719,63,1789724681509.087891,640,480,640,480,4901.599530
65,69,1789724681575.675781,64,1789724681575.625732,640,480,640,480,4970.564686
66,70,1789724681642.225342,65,1789724681642.176514,640,480,640,480,5035.532030
67,71,1789724681708.786865,66,1789724681708.738037,640,480,640,480,5102.636925
68,72,1789724681775.360352,67,1789724681775.311523,640,480,640,480,5168.874321
69,73,1789724681841.945557,68,1789724681841.896484,640,480,640,480,5235.338279
70,74,1789724681908.542480,69,1789724681908.493652,640,480,640,480,5302.515415
71,75,1789724681975.151367,70,1789724681975.102295,640,480,640,480,5368.701769
72,76,1789724682041.771973,71,1789724682041.723145,640,480,640,480,5435.613019
73,77,1789724682108.405518,72,1789724682108.355469,640,480,640,480,5503.580311
74,78,1789724682175.049805,73,1789724682175.000732,640,480,640,480,5569.120884
75,79,1789724682241.705811,74,1789724682241.656982,640,480,640,480,5636.165623
76,80,1789724682308.373779,75,1789724682308.324951,640,480,640,480,5703.130936
77,81,1789724682375.047363,76,1789724682374.998291,640,480,640,480,5768.886925
78,82,1789724682441.971680,77,1789724682441.922607,640,480,640,480,5835.750206
79,83,1789724682508.921143,78,1789724682508.871826,640,480,640,480,5902.882915
80,84,1789724682575.895264,79,1789724682575.846191,640,480,640,480,5969.151040
81,85,1789724682642.895508,80,1789724682642.845459,640,480,640,480,6036.668071
82,86,1789724682709.919678,81,1789724682709.870605,640,480,640,480,6102.651404
83,87,1789724682776.968994,82,1789724682776.919678,640,480,640,480,6169.218540
84,88,1789724682844.043213,83,1789724682843.993896,640,480,640,480,6236.088696
85,89,1789724682911.142334,84,1789724682911.093018,640,480,640,480,6303.041508
86,90,1789724682978.266357,85,1789724682978.217041,640,480,640,480,6369.464321
